id,url_token,name,use_default_avatar,avatar_url,avatar_url_template,is_org,type,url,user_type,headline,gender,is_advertiser,vip_info,badge,badge_v2,is_following,is_followed,follower_count,answer_count,articles_count,is_realname
36f69162230003d316d0b8a6d8da20ba,liang-zi-wei-48,量子位,False,https://pic1.zhimg.com/v2-ca6e7ffc10a0d10edbae635cee82d007_l.jpg,https://pic1.zhimg.com/v2-ca6e7ffc10a0d10edbae635cee82d007.jpg,True,people,https://www.zhihu.com/api/v4/people/liang-zi-wei-48,organization,有趣的AI&amp;前沿科技→_→ 公众号：QbitAI,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}, {'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19551275', 'type': 'topic', 'url': 'https://www.zhihu.com/api/v4/topics/19551275', 'name': '人工智能', 'avatar_url': 'https://pic3.zhimg.com/v2-c41d10d22173d515740c43c70f885705_l.jpg', 'answer_count': 88}, {'id': '19556895', 'type': 'topic', 'url': 'https://www.zhihu.com/api/v4/topics/19556895', 'name': '科研', 'avatar_url': 'https://pic3.zhimg.com/v2-f94b3093434c09b4501b056d142025e0_l.jpg', 'answer_count': 19}]}]","{'title': '<a href=""https://www.zhihu.com/topic/20054793"">科研、人工智能话题下的优秀回答者</a>', 'merged_badges': [{'type': 'best', 'detail_type': 'best', 'title': '优秀认证', 'description': '<a href=""https://www.zhihu.com/topic/20054793"">科研、人工智能话题下的优秀回答者</a>', 'url': 'https://www.zhihu.com/topic/20054793', 'sources': [{'id': '19556895', 'token': '19556895', 'type': 'topic', 'url': 'https://www.zhihu.com/topic/19556895', 'name': '科研', 'avatar_path': 'v2-f94b3093434c09b4501b056d142025e0', 'avatar_url': 'https://pic1.zhimg.com/v2-f94b3093434c09b4501b056d142025e0_hd.jpg', 'description': '', 'priority': 0}, {'id': '19551275', 'token': '19551275', 'type': 'topic', 'url': 'https://www.zhihu.com/topic/19551275', 'name': '人工智能', 'avatar_path': 'v2-c41d10d22173d515740c43c70f885705', 'avatar_url': 'https://pic1.zhimg.com/v2-c41d10d22173d515740c43c70f885705_hd.jpg', 'description': '', 'priority': 0}], 'icon': '', 'night_icon': ''}, {'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic1.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic1.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}, {'type': 'best', 'detail_type': 'best_answerer', 'title': '优秀回答者', 'description': '<a href=""https://www.zhihu.com/topic/20054793"">科研、人工智能话题下的优秀回答者</a>', 'url': 'https://www.zhihu.com/topic/20054793', 'sources': [{'id': '19556895', 'token': '19556895', 'type': 'topic', 'url': 'https://www.zhihu.com/topic/19556895', 'name': '科研', 'avatar_path': 'v2-f94b3093434c09b4501b056d142025e0', 'avatar_url': 'https://pic1.zhimg.com/v2-f94b3093434c09b4501b056d142025e0_hd.jpg', 'description': '', 'priority': 0}, {'id': '19551275', 'token': '19551275', 'type': 'topic', 'url': 'https://www.zhihu.com/topic/19551275', 'name': '人工智能', 'avatar_path': 'v2-c41d10d22173d515740c43c70f885705', 'avatar_url': 'https://pic1.zhimg.com/v2-c41d10d22173d515740c43c70f885705_hd.jpg', 'description': '', 'priority': 0}], 'icon': 'https://pic1.zhimg.com/v2-145dd976a0df65a40bd63cd5d49fb7a6_l.png', 'night_icon': 'https://pic3.zhimg.com/v2-3886bd5ed4f26789526ca05b38f2dab4_l.png'}], 'icon': '', 'night_icon': ''}",False,False,265922,336,3022,True
bdf4bcfd033873277a05ef8af0599b72,wei-xin-zhi-fu-30,微信支付,False,https://pic2.zhimg.com/v2-3677592997aad0a34a56ddcd77238783_l.jpg,https://pic2.zhimg.com/v2-3677592997aad0a34a56ddcd77238783.jpg,True,people,https://www.zhihu.com/api/v4/people/wei-xin-zhi-fu-30,organization,微信支付，不止支付,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic3.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic2.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,184351,149,49,True
818347236c00169b8904697c8169854b,zhi-ke-ji-13,知乎科技,False,https://pic1.zhimg.com/v2-289c0ba7615f93dd88eff5d13fca5abd_l.jpg,https://pic4.zhimg.com/v2-289c0ba7615f93dd88eff5d13fca5abd.jpg,True,people,https://www.zhihu.com/api/v4/people/zhi-ke-ji-13,organization,如何「知乎」地看科技,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic4.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic1.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,5852385,28,49,True
70c5673ee4e9644003f7a725c4a06a4e,zhi-hu-you-xi,知乎游戏,False,https://pic3.zhimg.com/v2-5f444658c20d424c96ce30d3fa89997b_l.jpg,https://pic2.zhimg.com/v2-5f444658c20d424c96ce30d3fa89997b.jpg,True,people,https://www.zhihu.com/api/v4/people/zhi-hu-you-xi,organization,认真你就赢了！,-1,True,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic1.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic2.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,3361165,17,125,True
03275896579dc6d94f7efa2631c7d41f,teng-xun-zheng-pian,棱镜深网-腾讯新闻,False,https://pic1.zhimg.com/v2-01b5aca0a4e931b72d1253bea2a7bf17_l.jpg,https://pic4.zhimg.com/v2-01b5aca0a4e931b72d1253bea2a7bf17.jpg,True,people,https://www.zhihu.com/api/v4/people/teng-xun-zheng-pian,organization,专注财经科技领域，探究背后深层逻辑。,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic3.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic3.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,24520,89,917,True
12067872e562f537012f7c188ad404cf,hua-er-jie-jian-wen,华尔街见闻,False,https://pic4.zhimg.com/v2-c95324d4916fb301d335b8aaf0a9b5d9_l.jpg,https://pic3.zhimg.com/v2-c95324d4916fb301d335b8aaf0a9b5d9.jpg,True,people,https://www.zhihu.com/api/v4/people/hua-er-jie-jian-wen,organization,Be the first to Know.,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic3.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic2.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,217821,85,1958,True
edbd570b61df6e972dcaeab930d5d8d2,tou-pai-xiao-juan,头牌观点,False,https://pic1.zhimg.com/v2-492e49e81c940447b2e8b37fa97bf051_l.jpg,https://pic3.zhimg.com/v2-492e49e81c940447b2e8b37fa97bf051.jpg,False,people,https://www.zhihu.com/api/v4/people/tou-pai-xiao-juan,people,职场人的短评论社区，懂行比懂你更重要。,-1,False,"{'is_vip': False, 'rename_days': '60'}",[],"{'title': '', 'merged_badges': [], 'detail_badges': [], 'icon': '', 'night_icon': ''}",False,False,594,20,103,True
31da3b96dbbf3f95bcca11d8de6ec722,ciwei-gongshe,刺猬公社,False,https://pic2.zhimg.com/v2-6312febbde0379d6e182fd4df0f13141_l.jpg,https://pic4.zhimg.com/v2-6312febbde0379d6e182fd4df0f13141.jpg,False,people,https://www.zhihu.com/api/v4/people/ciwei-gongshe,people,看见未来内容的方向（公众号：刺猬公社）,1,False,"{'is_vip': False, 'rename_days': '60'}",[],"{'title': '', 'merged_badges': [], 'detail_badges': [], 'icon': '', 'night_icon': ''}",False,False,34691,238,607,True
b267e0c0b0e4862799a1f6967c10cbb2,zhi-hu-ri-bao-51-41,知乎日报,False,https://pic1.zhimg.com/v2-6dc7efaea43f291bbafdc2b7a9eabfb7_l.jpg,https://pic4.zhimg.com/v2-6dc7efaea43f291bbafdc2b7a9eabfb7.jpg,True,people,https://www.zhihu.com/api/v4/people/zhi-hu-ri-bao-51-41,organization,带你正确地逛知乎,-1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '已认证的官方帐号'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_org', 'title': '已认证的官方帐号', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">已认证的官方帐号</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic3.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic3.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,31929901,13,347,True
83c229e5e026d4f8b685aa2750902459,liu-kan-shan-78,刘看山,False,https://pic3.zhimg.com/v2-0c61de8d47d8573e453c9cb1fb8bf0ba_l.jpg,https://pic4.zhimg.com/v2-0c61de8d47d8573e453c9cb1fb8bf0ba.jpg,False,people,https://www.zhihu.com/api/v4/people/liu-kan-shan-78,people,知乎吉祥物，带你发现更有趣的知乎,1,False,"{'is_vip': False, 'rename_days': '60'}","[{'type': 'identity', 'description': '北极狐，知乎全职吉祥物'}]","{'title': '<a href=""https://www.zhihu.com/account/verification/intro"">北极狐，知乎全职吉祥物</a>', 'merged_badges': [{'type': 'identity', 'detail_type': 'identity', 'title': '认证', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">北极狐，知乎全职吉祥物</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': '', 'night_icon': ''}], 'detail_badges': [{'type': 'identity', 'detail_type': 'identity_people', 'title': '已认证的个人', 'description': '<a href=""https://www.zhihu.com/account/verification/intro"">北极狐，知乎全职吉祥物</a>', 'url': 'https://www.zhihu.com/account/verification/intro', 'sources': [], 'icon': 'https://pic4.zhimg.com/v2-4c25640069cba2a8522b15a40af2fcb0_l.png', 'night_icon': 'https://pic2.zhimg.com/v2-2cc55359f0d302f7023f35f1cd965ad3_l.png'}], 'icon': '', 'night_icon': ''}",False,False,11178718,93,52,True
